title,year,certificate,rating,description,director,writer,actors,genres
Get Hard,2015,2015,6.0,"When millionaire James King is jailed for fraud and bound for San Quentin, he turns to Darnell Lewis to prep him to go behind bars.",Etan Cohen,"['Etan Cohen', 'Jay Martel']","['Will Ferrell', 'Kevin Hart', 'Alison Brie', 'T.I.', 'Craig T. Nelson', 'Edwina Findley', 'Ariana Neal', 'Erick Chavarria', 'Paul Ben-Victor', 'John Mayer', 'Jon Eyez', 'Nito Larioza', 'Dan Bakkedahl', 'Greg Germann', 'Ron Funches', 'Joshua Joseph Gillum', 'Chris Marroy', 'Katia Gomez']",Etan Cohen
The Gambler,2014,2014,6.0,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?",Rupert Wyatt,"['Rupert Wyatt', 'William Monahan']","['Mark Wahlberg', 'Jessica Lange', 'John Goodman', 'Brie Larson', 'George Kennedy', 'Griffin Cleveland', 'Omar Leyva', 'Steve Park', 'Chil Kong', 'Michael Kenneth Williams', ""Da'Vone McDonald"", 'Amin Joseph', 'Cjon Saulsberry', 'Teebone Mitchell', 'Jasmond Carroll', 'Ria Wilkinson', 'J. Denise', 'Alvin Ing']",Rupert Wyatt
Menino Maluquinho 2: A Aventura,1998,1998,5.0,"In this new adventure, Maluquinho is spending the holidays at the home of his grandfather Tônico (Stênio Garcia), an inventor who lives in a small community in the interior of Minas Gerais. His friends Junim (Samuel Brandão), Lucio (Cauã Bernard Souza), Bocão (João Romeu Filho) and Nina (Fernanda Guimarães) are coming to the city to help Maluquinho organize the circus... Read all",Fernando Meirelles,"['Fernando Meirelles', 'Fabrizia Pinto']","['Fernando Alves Pinto', 'Pedro Bismark', 'Samuel Brandão', 'Cláudio Cavalcanti', 'Samuel Costa', 'Nelson Dantas', 'Stênio Garcia', 'Lu Grimaldi', 'Gabriel Guimard', 'Flávio Migliaccio', 'Fernanda Guimarães Miranda', 'Martha Overbeck', 'Antonio Pedro', 'Rui Resende', 'João Romeu Filho', 'Claudia Schapira', 'Cláudia Shapiro', 'Cauã Bernardes Souza']",Fernando Meirelles
The Football Factory,2004,2004,6.8,"An insight on the gritty life of a bored male, Chelsea football hooligan who lives for violence, sex, drugs & alcohol.",Nick Love,"['Nick Love', 'John King']","['Danny Dyer', 'Frank Harper', 'Tamer Hassan', 'Roland Manookian', 'Neil Maskell', 'Dudley Sutton', 'Jamie Foreman', 'Tony Denham', 'Calum MacNab', 'John Junkin', 'Sophie Linfield', 'Kara Tointon', 'Michele Hallak', 'Daniel Naylor', 'Alison Egan', 'Adam Bolton', 'Philip Dunbar', 'Ronnie Large']",Nick Love
Step Up 2: The Streets,2008,2008,6.2,Romantic sparks occur between two dance students from different backgrounds at the Maryland School of the Arts.,Jon M. Chu,"['Jon M. Chu', 'Toni Ann Johnson']","['Robert Hoffman', 'Briana Evigan', 'Cassie Ventura', 'Adam Sevani', 'Danielle Polanco', 'Christopher Scott', 'Mari Koda', 'Janelle Cambridge', 'Luis Rosado', 'Harry Shum Jr.', 'LaJon Dantzler', 'Telisha Shaw', 'Black Thomas', 'Kmel Howell', ""Jeff 'Rapid' Ogle"", ""Donnie 'Crumbs' Counts"", 'Ebone Johnson', ""Rynan 'Rainen' Paguio""]",Jon M. Chu
"Kiss Me, Stupid",1964,1964,6.9,"Jealous piano teacher Orville Spooner sends his beautiful wife, Zelda, away for the night while he tries to sell a song to famous nightclub singer Dino, who is stranded in town.",Billy Wilder,"['Billy Wilder', 'Billy Wilder']","['Dean Martin', 'Kim Novak', 'Ray Walston', 'Felicia Farr', 'Cliff Osmond', 'Barbara Pepper', 'Skip Ward', 'Doro Merande', 'Bobo Lewis', 'Tom Nolan', 'Alice Pearce', 'John Fiedler', 'Arlen Stuart', 'Howard McNear', 'Cliff Norton', 'Mel Blanc', ""Eileen O'Neill"", 'Susan Wedell']",Billy Wilder
Human Traffic,1999,1999,7.1,"Five friends spend one lost weekend in a mix of music, love and club culture.",Justin Kerrigan,"['Justin Kerrigan', 'Justin Kerrigan']","['John Simm', 'Lorraine Pilkington', 'Shaun Parkes', 'Nicola Reynolds', 'Danny Dyer', 'Dean Davies', 'Peter Albert', 'Jan Anderson', 'Terence Beesley', 'Sarah Blackburn', 'Anne Bowen', 'Neil Bowens', 'Peter Bramhill', 'Jo Brand', 'Stephanie Brooks', 'Richard Coyle', 'Carl Cox', 'Nicola Davey']",Justin Kerrigan
Send Me No Flowers,1964,1964,7.0,A hypochondriac believes he is dying and makes plans for his wife which she discovers and misunderstands.,Norman Jewison,"['Norman Jewison', 'Julius J. Epstein']","['Rock Hudson', 'Doris Day', 'Tony Randall', 'Paul Lynde', 'Hal March', 'Edward Andrews', 'Patricia Barry', 'Clint Walker', 'Clive Clerk', 'Dave Willock', 'Aline Towne', 'Helene Winston', 'Christine Nelson', 'John Alban', 'Don Anderson', 'Shirley Anthony', 'Herschel Bernardi', 'Paul Bradley']",Norman Jewison
Pirates of the Caribbean: At World's End,2007,2007,7.1,"Captain Barbossa, Will Turner and Elizabeth Swann must sail off the edge of the map, navigate treachery and betrayal, find Jack Sparrow, and make their final alliances for one last decisive battle.",Gore Verbinski,"['Gore Verbinski', 'Ted Elliott']","['Johnny Depp', 'Orlando Bloom', 'Keira Knightley', 'Geoffrey Rush', 'Jack Davenport', 'Bill Nighy', 'Jonathan Pryce', 'Lee Arenberg', 'Mackenzie Crook', 'Kevin McNally', 'David Bailie', 'Stellan Skarsgård', 'Tom Hollander', 'Naomie Harris', 'Martin Klebba', 'David Schofield', 'Lauren Maher', 'Dermot Keaney']",Gore Verbinski
In the Cut,2003,2003,5.4,"New York City writing professor, Frannie Avery, has an affair with a police detective who is investigating the murder of a beautiful young woman in her neighborhood.",Jane Campion,"['Jane Campion', 'Jane Campion']","['Meg Ryan', 'Mark Ruffalo', 'Jennifer Jason Leigh', 'Michael Nuccio', 'Allison Nega', 'Dominick Aries', 'Susan Gardner', 'Sharrieff Pugh', 'Nick Damici', 'Heather Litteer', 'Daniel T. Booth', 'Yaani King Mondschein', 'Frank Harts', 'Sebastian Sozzi', 'Zach Wegner', ""Patrice O'Neal"", 'Funda Duval', 'Theo Kogan']",Jane Campion
Due Date,2010,2010,6.5,High-strung father-to-be Peter Highman is forced to hitch a ride with aspiring actor Ethan Tremblay on a road trip in order to make it to his child's birth on time.,Todd Phillips,"['Todd Phillips', 'Alan R. Cohen']","['Robert Downey Jr.', 'Zach Galifianakis', 'Michelle Monaghan', 'Jamie Foxx', 'Juliette Lewis', 'Danny McBride', 'RZA', 'Matt Walsh', 'Brody Stevens', 'Jakob Ulrich', 'Naiia Ulrich', 'Todd Phillips', 'Bobby Tisdale', 'Sharon Conley', 'Nathalie Fay', 'Emily Wagner', 'Steven M. Gagnon', 'Paul Renteria']",Todd Phillips
Wolfen,1981,1981,6.3,A New York cop investigates a series of brutal deaths that resemble animal attacks.,Michael Wadleigh,"['Michael Wadleigh', 'Whitley Strieber']","['Albert Finney', 'Diane Venora', 'Edward James Olmos', 'Gregory Hines', 'Tom Noonan', ""Dick O'Neill"", 'Dehl Berti', 'Peter Michael Goetz', 'Sam Gray', 'Ralph Bell', 'Max M. Brown', 'Anne Marie Pohtamo', 'Sarah Felder', 'Reginald VelJohnson', 'James Tolkan', 'John McCurry', 'Chris Manor', 'Donald Symington']",Michael Wadleigh
One Missed Call,2008,2008,4.0,"Several people start receiving voice-mails from their future selves - messages which include the date, time, and some of the details of their deaths.",Eric Valette,"['Eric Valette', 'Andrew Klavan']","['Edward Burns', 'Shannyn Sossamon', 'Ana Claudia Talancón', 'Ray Wise', 'Azura Skye', 'Johnny Lewis', 'Jason Beghe', 'Margaret Cho', 'Meagan Good', 'Rhoda Griffis', 'Dawn Dininger', 'Ariel Winter', 'Sarah Jean Kubik', 'Raegan Lamb', 'Karen Beyer', 'Alana Locke', 'Dave Spector', 'Mary Lynn Owen']",Eric Valette
Vantage Point,2008,2008,6.6,The attempted assassination of the American President is told and re-told from several different perspectives.,Pete Travis,"['Pete Travis', 'Barry L. Levy']","['Dennis Quaid', 'Forest Whitaker', 'Matthew Fox', 'Bruce McGill', 'Edgar Ramírez', 'Saïd Taghmaoui', 'Ayelet Zurer', 'Zoe Saldana', 'Sigourney Weaver', 'William Hurt', 'James Le Gros', 'Eduardo Noriega', 'Richard T. Jones', 'Holt McCallany', 'Leonardo Nam', 'Dolores Heredia', 'Alicia Jaziz', 'Justin Sundquist']",Pete Travis
A Dog's Purpose,2017,2017,7.2,A dog looks to discover his purpose in life over the course of several lifetimes and owners.,Lasse Hallström,"['Lasse Hallström', 'W. Bruce Cameron']","['Josh Gad', 'Dennis Quaid', 'Peggy Lipton', 'Bryce Gheisar', 'K.J. Apa', 'Juliet Rylance', 'Luke Kirby', 'Gabrielle Rose', 'Michael Bofshever', 'Britt Robertson', 'Logan Miller', 'Kirby Howell-Baptiste', 'Pooch Hall', 'John Ortiz', 'Nicole LaPlaca', 'Primo Allon', 'Peter Kelamis', 'Caroline Cave']",Lasse Hallström
Freddy's Dead: The Final Nightmare,1991,1991,4.7,"Dream-haunting Freddy Krueger returns once again to prowl the nightmares of Springwood's last surviving teenager, and of a woman whose personal connection to Krueger may mean his doom.",Rachel Talalay,"['Rachel Talalay', 'Wes Craven']","['Robert Englund', 'Lisa Zane', 'Shon Greenblatt', 'Lezlie Deane', 'Ricky Dean Logan', 'Breckin Meyer', 'Yaphet Kotto', 'Tom Arnold', 'Roseanne Barr', 'Elinor Donahue', 'Johnny Depp', 'Cassandra Rachel Friel', 'David Dunard', 'Marilyn Rockafellow', 'Virginia Peters', 'Stella Hall', 'Lindsey Fields', 'Angelina Estrada']",Rachel Talalay
Knowing,2009,2009,6.2,M.I.T. professor John Koestler links a mysterious list of numbers from a time capsule to past and future disasters and sets out to prevent the ultimate catastrophe.,Alex Proyas,"['Alex Proyas', 'Ryne Douglas Pearson']","['Nicolas Cage', 'Chandler Canterbury', 'Rose Byrne', 'Lara Robinson', 'D.G. Maloney', 'Nadia Townsend', 'Alan Hopgood', 'Adrienne Pickering', 'Joshua Long', 'Danielle Carter', 'Alethea McGrath', 'David Lennie', 'Tamara Donnellan', 'Travis Waite', 'Ben Mendelsohn', 'Gareth Yuen', 'Lesley Anne Mitchell', 'Liam Hemsworth']",Alex Proyas
Knight and Day,2010,2010,6.3,A young woman gets mixed up with a disgraced spy who is trying to clear his name.,James Mangold,"['James Mangold', ""Patrick O'Neill""]","['Tom Cruise', 'Cameron Diaz', 'Peter Sarsgaard', 'Jordi Mollà', 'Viola Davis', 'Paul Dano', 'Falk Hentschel', 'Marc Blucas', 'Lennie Loftin', 'Maggie Grace', 'Rich Manley', 'Dale Dye', 'Celia Weston', 'Gal Gadot', ""Jack O'Connell"", 'Trevor Loomis', 'Nilaja Sun', 'Tommy Nohilly']",James Mangold
Three Christs,2017,2017,6.2,"Three Christs follows Dr. Alan Stone who is treating three paranoid schizophrenic patients at the Ypsilanti State Hospital in Michigan, each of whom believed they were Jesus Christ. What transpires is both comic and deeply moving.",Jon Avnet,"['Jon Avnet', 'Eric Nazarian']","['Richard Gere', 'Peter Dinklage', 'Bradley Whitford', 'Walton Goggins', 'James Monroe Iglehart', 'Julian Acosta', 'Julianna Margulies', 'Kevin Pollak', 'Charlotte Hope', 'Stephen Root', 'Danny Deferrari', 'Chris Bannow', 'Ripley Sobo', 'Christina Scherer', 'Ava Gallucci', 'Kathryn Leigh Scott', 'Lily Avnet', 'Nancy Robinette']",Jon Avnet
Eurovision Song Contest: The Story of Fire Saga,2020,2020,6.5,"When aspiring musicians Lars and Sigrit are given the opportunity to represent their country at the world's biggest song competition, they finally have a chance to prove that any dream worth having is a dream worth fighting for.",David Dobkin,"['David Dobkin', 'Will Ferrell']","['Will Ferrell', 'Rachel McAdams', 'Dan Stevens', 'Mikael Persbrandt', 'Pierce Brosnan', 'Ólafur Darri Ólafsson', 'Melissanthi Mahut', 'Joi Johannsson', 'Björn Hlynur Haraldsson', 'Demi Lovato', 'Graham Norton', 'Jamie Demetriou', 'Jon Kortajarena', 'Elina Alminas', 'Alfrun Rose', 'Elin Petersdottir', 'Christopher Jeffers', 'Rebecca Harrod']",David Dobkin
Bloodshot,2020,2020,5.7,"Ray Garrison, a slain soldier, is re-animated with superpowers.",Dave Wilson,"['Dave Wilson', 'Jeff Wadlow']","['Vin Diesel', 'Eiza González', 'Sam Heughan', 'Toby Kebbell', 'Talulah Riley', 'Lamorne Morris', 'Guy Pearce', 'Jóhannes Haukur Jóhannesson', 'Alex Hernandez', 'Siddharth Dhananjay', 'Tamer Burjaq', 'Clyde Berning', 'David Dukas', 'Charlie Bouguenon', 'Tyrel Meyer', 'Frans Steyn', 'David Davadoss', 'Alex Anlos']",Dave Wilson
Girls Just Want to Have Fun,1985,1985,5.9,"Janey is new in town and soon meets Lynne, who shares her passion for dancing in general and ""Dance TV"" in particular.",Alan Metter,"['Alan Metter', 'Amy Spies']","['Biff Yeager', 'Kristi Somers', 'Richard Blade', 'Ian Michael Giatti', 'Shannen Doherty', 'Sarah Jessica Parker', 'Lee Montgomery', 'Helen Hunt', 'Morgan Woodward', 'Ed Lauter', 'Jonathan Silverman', 'Holly Gagnier', 'Margaret Howell', 'Terence McGovern', 'Lee Arnone-Briggs', 'Shaun Bryant', 'Charene Cathleen', 'Mark Caso']",Alan Metter
A Room with a View,1985,1985,7.2,"Lucy meets George in a Florence pensione and the two share a brief romance before Lucy returns home, where she becomes engaged to Cecil. However, it isn't long before George unexpectedly enters her life again.",James Ivory,"['James Ivory', 'E.M. Forster']","['Maggie Smith', 'Helena Bonham Carter', 'Denholm Elliott', 'Julian Sands', 'Simon Callow', 'Patrick Godfrey', 'Judi Dench', 'Fabia Drake', 'Joan Henley', 'Amanda Walker', 'Daniel Day-Lewis', 'Maria Britneva', 'Rosemary Leach', 'Rupert Graves', 'Peter Cellier', 'Mia Fothergill', 'Kitty Aldridge', 'Brigid Erin Bates']",James Ivory
Bangkok Dangerous,2008,2008,5.3,A hitman who's in Bangkok to pull off a series of jobs violates his personal code when he falls for a local woman and bonds with his errand boy.,Danny Pang,"['Danny Pang', 'Oxide Chun Pang']","['Nicolas Cage', 'Charlie Yeung', 'Shahkrit Yamnarm', 'Panward Hemmanee', 'Nirattisai Kaljareuk', 'Dom Hetrakul', 'Tuck Napaskorn', 'Stephen Baldocchi', 'Chris Heebink', 'James With', 'Peter Shadrin', 'Arthajid Puengvicha', 'Duangjai Srisawang', 'Veerasak Boonchard', 'Joe Sakol Palvanichkul', 'Savaros Sriratum', 'Thanrada Kao-Im', 'Namngen Boonnark']",Danny Pang
Ewoks: The Battle for Endor,1985,1985,5.4,"Marauders raid the Ewok village and steal a power supply they believe to be magical. Wicket helps Cindel escape the evil witch Charal, and they befriend a hermit who may help them save the village.",Jim Wheat,"['Jim Wheat', 'Ken Wheat']","['Wilford Brimley', 'Warwick Davis', 'Aubree Miller', 'Siân Phillips', 'Carel Struycken', 'Niki Botelho', 'Paul Gleason', 'Eric Walker', 'Marianne Horine', 'Daniel Frishman', 'Tony Cox', 'Pam Grizz', 'Roger Johnson', 'Michael Pritchard', 'Johnny Weissmuller Jr.', 'Malumba Anderson', 'Thomas Calabrese', 'Scott Couper']",Jim Wheat
